지점	카테고리	조닝	브랜드	매장유형	평수	25년 3월 매출	25년 4월 매출	평매출	25년 5월 매출	평매출	25년 6월 매출	평매출	26년 3월 매출	3월 성장률	26년 4월 매출	4월 성장률
중계점	스포츠(특정)NC	스포츠	아디다스(ADIDAS)		18.4	21,406,800	22,351,300	40491	36,094,400	65388	12,907,200	23383		-100.0%		-100.0%
중계점	스포츠(특정)NC	스포츠	푸마(PUMA)	정상	10.0	16,904,560	11,192,620	37309	11,663,210	38877	13,371,620	44572	19,433,710	15.0%	22,813,620	103.8%
중계점	스포츠(특정)NC	스포츠	뉴발란스	상설	15.7	54,604,600	69,293,900	147121	62,772,500	133275	41,115,900	87295	74,401,790	36.3%	54,334,500	-21.6%
중계점	스포츠(특정)NC	스포츠	크록스(CROCS)	정상	3.5	19,603,400	34,136,400	325370	61,813,900	589178	47,384,100	451641	22,511,600	14.8%	45,475,100	33.2%
중계점	스포츠(특정)NC	골프	디즈니골프	정상	8.6	17,480,020	1,845,960	7173		0		0		-100.0%		-100.0%
중계점	스포츠(특정)NC	골프	팬텀	복합	9.0	28,145,464	14,135,300	52369		0		0		-100.0%		-100.0%
중계점	스포츠(특정)NC	골프	루이까스텔	상설	12.7	48,424,800	2,254,600	5934		0		0		-100.0%		-100.0%
중계점	스포츠(특정)NC	골프	벤제프골프	정상	8.8	10,050,790	1,399,000	5313		0		0		-100.0%		-100.0%
중계점	스포츠(특정)NC	스포츠	스케쳐스	정상	9.7	103,570,720	117,343,650	403243	122,997,860	422673	83,344,960	286409	105,825,500	2.2%	107,426,450	-8.5%
중계점	스포츠(특정)NC	스포츠	데상트	정상	19.4	52,101,520	51,983,610	89319	54,859,010	94259	61,689,190	105995	67,337,830	29.2%	60,760,870	16.9%
중계점	스포츠(특정)NC	아웃도어	블랙야크	정상	15.1	43,345,900	36,015,200	79504	51,434,140	113541	34,886,500	77012	60,016,130	38.5%	42,172,200	17.1%
중계점	스포츠(특정)NC	아웃도어	아이더(EIDER)	정상	13.0	34,690,000	42,829,600	109819	37,149,600	95255	24,092,500	61776	44,204,300	27.4%	31,480,700	-26.5%
중계점	스포츠(특정)NC	아웃도어	케이투(K2)	정상	21.5	95,418,800	82,063,900	127231	97,935,000	151837	59,473,900	92208	84,220,500	-11.7%	86,872,400	5.9%
중계점	스포츠(특정)NC	아웃도어	네파	정상	10.0	46,400,710	52,385,250	174618	50,952,350	169841	51,162,830	170543	29,476,000	-36.5%	43,928,400	-16.1%
중계점	스포츠(특정)NC	아웃도어	디스커버리	상설	13.3	92,666,600	93,255,200	233722	72,268,600	181124	61,086,500	153099	78,459,200	-15.3%	100,017,800	7.3%
안양점	캐쥬얼(특정매입)	이지	폴햄	#N/A	25.6	23,397,200	26,803,820	34882	26,684,050	34726	30,666,800	39909		-100.0%		-100.0%
안양점	캐쥬얼(특정매입)	이지	프로젝트M	#N/A	13.6	12,513,020	15,084,250	36971	23,446,690	57467	22,697,890	55632	21,071,450	68.4%	21,501,250	42.5%
안양점	캐쥬얼(특정매입)	이지	폴햄메가샾	#N/A	85.0			0		0		0	20,169,300	-	15,829,600	-
안양점	잡화(특정매입)	제화	에스콰이아(ESQUIRE)	#N/A	9.4	28,288,600	25,042,400	89012	32,600,600	115877	39,602,700	140766	26,757,500	-5.4%	23,710,800	-5.3%
안양점	잡화(특정매입)	제화	엘칸토(ELCANTO )	#N/A	10.0	38,829,400	26,115,900	86792	33,893,700	112641	29,150,000	96876	35,605,650	-8.3%	28,852,800	10.5%
안양점	잡화(특정매입)	핸드백/피혁	키플링(KIPLING)	#N/A	7.3	13,090,800	10,076,400	45831	27,031,860	122951	16,057,860	73037	23,435,660	79.0%	12,942,280	28.4%
안양점	잡화(특정매입)	제화	허쉬파피(HUSHPUPPIES)	#N/A	9.4	17,546,100	10,040,500	35688	19,041,700	67683	20,006,300	71111	10,431,200	-40.5%	11,877,800	18.3%
안양점	잡화(특정매입)	핸드백/피혁	닥스(핸드백)	#N/A	#N/A	13,991,880	8,243,520	-		-		-		-100.0%		-100.0%
안양점	잡화(특정매입)	핸드백/피혁	엘레강스(핸드백)	#N/A	7.2	26,679,900	15,766,400	73426	30,422,708	141682	17,860,800	83180	33,884,800	27.0%	21,351,600	35.4%
안양점	잡화(특정매입)	핸드백/피혁	아메리칸투어리스트	#N/A	11.4	20,534,000	20,064,400	58829	19,259,300	56468	17,781,200	52134		-100.0%		-100.0%
안양점	잡화(특정매입)	제화	소다	#N/A	#N/A			-		-		-		-		-
안양점	잡화(특정매입)	제화	미셸BY탠디	#N/A	#N/A			-	11,641,000	-	14,542,000	-		-		-
안양점	잡화(특정매입)	제화	제옥스(제화)	#N/A	#N/A			-		-		-		-		-
안양점	영캐쥬얼(특정)2001	베이직	에이비에프지(ABFZ)	#N/A	11.8	4,672,000	5,932,200	16804	10,023,500	28393	10,036,200	28429		-100.0%		-100.0%
안양점	영캐쥬얼(특정)2001	베이직	클라비스(CLOVIS)	#N/A	11.5	20,597,600	23,012,770	66704	18,775,530	54422	20,379,700	59072	18,050,170	-12.4%	16,064,970	-30.2%
안양점	영캐쥬얼(특정)2001	스트릿	밸리걸	#N/A	11.8	16,815,300	12,497,700	35304	22,912,600	64725	20,970,500	59239	16,449,700	-2.2%	26,270,500	110.2%
안양점	영캐쥬얼(특정)2001	스트릿	오픈클로젯	#N/A	13.0			0		0		0	17,972,400	-	12,012,750	-
안양점	영캐쥬얼(특정)2001	스트릿	헤이린뉴욕	#N/A	10.3	12,128,400	13,007,500	42095	15,429,600	49934	15,334,700	49627	15,711,200	29.5%	19,569,400	50.4%
안양점	남성의류(특정매입)	신사캐쥬얼	크로커다일(CROCODILE)	#N/A	9.9	52,706,200	65,180,910	219464	84,577,120	284771	60,578,620	203968	65,429,640	24.1%	72,552,760	11.3%
안양점	남성의류(특정매입)	신사정장	파크랜드(PARKLAND)	#N/A	27.6	12,420,000	11,376,808	13734	25,430,400	30699	10,141,216	12242	11,713,900	-5.7%	9,941,200	-12.6%
안양점	남성의류(특정매입)	신사정장	트레몰로	#N/A	13.8	6,025,500	7,214,000	17375	5,317,740	12808	2,866,500	6904		-100.0%		-100.0%
안양점	남성의류(특정매입)	신사캐쥬얼	지오지아	#N/A	10.9	13,909,960	16,209,160	49786	15,987,730	49106	12,240,500	37596		-100.0%		-100.0%
안양점	남성의류(특정매입)	신사캐쥬얼	피에르가르뎅(신사캐주얼)	#N/A	12.0	893,000	668,000	1848	427,000	1181	416,000	1151		-100.0%		-100.0%
안양점	남성의류(특정매입)	신사캐쥬얼	피에이티(PAT)	#N/A	12.7	49,884,000	34,722,600	91110	34,768,600	91231	28,302,400	74264	32,406,408	-35.0%	43,466,000	25.2%
안양점	남성의류(특정매입)	신사캐쥬얼	앤드지	#N/A	10.8	6,638,040	4,501,470	13840	6,140,370	18879	3,621,900	11136		-100.0%		-100.0%
안양점	남성의류(특정매입)	신사캐쥬얼	에디션	#N/A	10.9	5,436,100	3,370,200	10351	4,066,530	12490	3,088,640	9487		-100.0%		-100.0%
안양점	아동의류(특정매입)	유아	아가방	#N/A	22.7	28,312,220	25,314,800	37174	29,387,100	43154	20,172,640	29623	22,264,040	-21.4%	24,192,350	-4.4%
안양점	아동의류(특정매입)	주니어	제이씨비(JCB)	#N/A	7.6	3,027,660	4,617,710	20342	4,523,850	19928	2,915,490	12843		-100.0%		-100.0%
안양점	아동의류(특정매입)	주니어	에어워크주니어	#N/A	8.8	3,004,200	3,614,100	13750	3,273,600	12454	2,554,000	9717		-100.0%		-100.0%
안양점	아동의류(특정매입)	토들러	페리미츠	#N/A	5.8	-19,500		0		0		0	5,994,100	-30839.0%	6,784,320	-
안양점	아동의류(특정매입)	주니어	행텐틴즈	#N/A	16.4	3,441,550	21,422,270	43661	28,213,740	57503	16,426,100	33478	48,238,300	1301.6%	42,115,190	96.6%
안양점	여성의류(특정)NC	여성커리어	안지크	#N/A	13.6			0		0		0	12,032,000	-	9,434,099	-
안양점	여성의류(특정)NC	여성커리어	베스띠벨리	#N/A	17.0	26,347,500	15,095,000	29598	21,045,350	41265	16,132,500	31632	22,162,630	-15.9%	17,590,570	16.5%
안양점	여성의류(특정)NC	마담	파올라	#N/A	10.9	35,164,000	28,159,000	86113	31,352,000	95878	21,704,000	66373	33,211,000	-5.6%	23,047,000	-18.2%
안양점	여성의류(특정)NC	여성커리어	발렌시아	#N/A	13.6	80,117,400	67,304,800	164963	63,199,800	154901	50,465,000	123689	84,020,200	4.9%	66,399,400	-1.3%
안양점	스포츠(특정)NC	스포츠	나이키(NIKE)	#N/A	32.2	35,307,760	21,205,400	21933	71,402,855	73851	43,101,570	44580	24,880,000	-29.5%	21,740,660	2.5%
안양점	스포츠(특정)NC	스포츠	아디다스(ADIDAS)	#N/A	34.4	18,812,100	12,107,000	11728	14,343,300	13895	9,038,000	8755		-100.0%		-100.0%
안양점	스포츠(특정)NC	아웃도어	웨스트우드	#N/A	19.7	6,446,100	16,200,800	27413	9,818,800	16614	6,722,640	11375	8,298,000	28.7%	8,102,400	-50.0%
안양점	스포츠(특정)NC	스포츠	프로스펙스	#N/A	#N/A	102,943,800	71,921,800	-	-77,500	-		-		-100.0%	110,447,600	53.6%
안양점	스포츠(특정)NC	아웃도어	콜핑(KOLPING)	#N/A	20.0	28,271,000	34,379,000	57298	37,823,000	63038	41,843,000	69738	47,099,000	66.6%	44,015,000	28.0%
안양점	스포츠(특정)NC	스포츠	레노마수영복	#N/A	14.7	6,532,300	4,458,100	10085	4,461,000	10091	5,689,600	12870		-100.0%		-100.0%
안양점	스포츠(특정)NC	스포츠	스케쳐스	#N/A	9.7	26,131,140	26,744,450	91905	34,941,530	120074	25,242,870	86745	26,583,450	1.7%	22,945,150	-14.2%
안양점	스포츠(특정)NC	아웃도어	디스커버리	#N/A	#N/A		46,961,100	-		-	30,267,650	-		-		-100.0%
분당점	캐쥬얼(특정매입)	진	리바이스	정상	13.3	24,927,700	25,651,600	64290	29,800,000	74687	23,099,500	57893	29,233,500	17.3%	39,241,750	53.0%
분당점	캐쥬얼(특정매입)	이지	후아유	정상	21.9	38,290,790	37,649,650	57305	34,679,810	52785	29,069,860	44246	34,052,780	-11.1%	53,584,280	42.3%
분당점	캐쥬얼(특정매입)	이지	지오다노	정상	18.8	37,232,430	41,949,500	74379	45,439,030	80566	46,219,770	81950	57,328,010	54.0%	51,818,880	23.5%
분당점	캐쥬얼(특정매입)	이지	마인드브릿지	정상	14.3	67,682,250	66,694,050	155209	79,075,490	184023	64,117,700	149214	70,029,270	3.5%	87,059,070	30.5%
분당점	캐쥬얼(특정매입)	이지	프로젝트M	정상	14.7	57,478,000	60,094,700	135857	74,314,200	168003	53,182,800	120231	63,097,490	9.8%	94,113,640	56.6%
분당점	캐쥬얼(특정매입)	스트릿	멤버헐리데이	정상	8.0	1,948,300	13,694,440	57228	23,446,590	97982	14,782,740	61776	-103,200	-105.3%		-100.0%
분당점	캐쥬얼(특정매입)	스트릿	JEEP	상설	10.3	16,478,650	13,914,870	44854	22,353,910	72057	14,135,980	45567	39,256,490	138.2%	40,291,770	189.6%
분당점	캐쥬얼(특정매입)	스트릿	NBA	상설	10.1	28,846,600	26,463,600	87565	26,139,200	86491	15,979,100	52873	27,801,960	-3.6%	24,830,300	-6.2%
분당점	캐쥬얼(특정매입)	스트릿	더블에이트	정상	10.0	21,335,800	17,741,200	59285	23,921,200	79936	16,463,200	55014	7,519,640	-64.8%		-100.0%
분당점	캐쥬얼(특정매입)	진	게스(GUESS)(진)	상설	12.9	60,674,000	63,327,600	163637	54,758,200	141494	55,014,600	142157	80,433,000	32.6%	78,871,000	24.5%
분당점	캐쥬얼(특정매입)	진	버커루	복합	11.9	28,497,430	35,429,470	99242	34,587,930	96885	21,036,700	58926	43,241,360	51.7%	34,730,620	-2.0%
분당점	캐쥬얼(특정매입)	이지	폴햄메가샾	정상	31.4	47,672,200	67,127,900	71261	70,087,200	74403	50,635,800	53754	46,370,100	-2.7%	44,086,300	-34.3%
분당점	캐쥬얼(특정매입)	이지	위라이크	#N/A	15.5			0		0		0		-	17,650,300	-
분당점	캐쥬얼(특정매입)	스트릿	알래스카	정상	14.1	40,166,300	47,327,130	111884	60,024,620	141902	47,537,000	112381	33,838,150	-15.8%	52,826,200	11.6%
