지점	카테고리	조닝	브랜드	매장유형	평수	25년 1월 매출	25년 2월 매출	25년 3월 매출	25년 4월 매출	평매출	25년 5월 매출	평매출	25년 6월 매출	평매출	25년 7월 매출	25년 8월 매출	25년 9월 매출	25년 10월 매출	25년 11월 매출	25년 12월 매출	26년 1월 매출	26년 2월 매출	26년 3월 매출	3월 성장률	26년 4월 매출	4월 성장률	26년 5월 매출
중계점	남성의류(특정매입)	신사캐쥬얼	피에이티(PAT)	상설	11.5	27,305,500	20,844,060	25,283,148	30,160,760	87,422	34,446,400	99,845	30,903,160	89,574	18,001,620	10,265,950	16,878,060	28,653,630	58,215,460	22,977,000	18,312,660	17,199,800	27,829,580	10.07%	38,124,700	26.40%	33,296,540
중계점	남성의류(특정매입)	신사캐쥬얼	바쏘옴므	데이터 부재	9.1	20,549,590	19,240,520	18,531,610	15,243,710	55,838	15,943,510	58,401	10,972,860	40,194	8,040,420	8,859,960	13,591,870	14,001,110	29,336,910	26,248,940	14,414,920	7,740,620	12,516,460	-32.46%	16,166,830	6.06%	18,032,010
중계점	남성의류(특정매입)	신사캐쥬얼	에디션	정상	8.9	8,726,000	7,559,500	18,704,060	32,312,950	120,625	26,658,470	99,516	14,523,070	54,215	12,052,700	8,036,400	9,461,778	20,026,240	26,180,190	17,501,610	15,381,420	17,459,630	25,151,560	34.47%	33,509,425	3.70%	27,744,907
중계점	남성의류(특정매입)	골프	디즈니골프	정상	8.6				6,771,300	26,312	12,097,840	47,009	9,665,000	37,556	8,674,100	7,039,360	8,300,200	10,599,000	17,277,500	14,145,360	4,314,080	7,833,200	11,025,800	-		-100.00%	
중계점	남성의류(특정매입)	골프	팬텀	복합	9.0				21,750,302	80,582	32,872,200	121,787	20,294,107	75,187	18,821,241	14,349,100	23,745,652	41,335,270	32,516,370	20,002,940	10,683,400	14,313,080	28,156,790	-	44,080,880	102.67%	54,515,090
중계점	남성의류(특정매입)	골프	루이까스텔	상설	12.7				57,650,500	151,726	51,847,600	136,454	33,537,400	88,265	20,643,300	11,766,700	17,015,700	27,673,500	16,386,100	7,753,500	8,211,700	4,803,300		-		-100.00%	
중계점	남성의류(특정매입)	골프	벤제프골프	정상	8.8				11,522,270	43,755	15,986,390	60,707	10,095,360	38,337	7,001,700	5,335,700	6,184,050	11,175,360	10,326,140	6,027,180	5,528,980	2,986,580	4,677,900	-	350,000	-96.96%	
중계점	아동의류(특정매입)	유아	아가방	정상	10.5	40,160,630	34,271,230	50,607,430	54,396,360	172,687	47,957,830	152,247	30,399,330	96,506	29,699,600	32,492,160	60,362,110	55,493,630	51,166,910	47,563,280	37,133,380	46,722,160	40,684,580	-19.61%	49,806,610	-8.44%	42,040,710
중계점	아동의류(특정매입)	스포츠키즈	아디다스키즈	정상	7.3	4,486,000	6,270,000	16,077,900	10,917,400	49,851	14,901,100	68,042	8,926,000	40,758	6,144,000	5,344,000	9,945,000	16,702,000	5,118,500	4,717,300	2,899,500	4,815,000	7,786,500	-51.57%	7,133,000	-34.66%	5,463,000
중계점	아동의류(특정매입)	스포츠키즈	휠라키즈	정상	16.3	16,007,300	23,817,100	34,593,300	23,721,200	48,510	21,346,900	43,654	13,055,810	26,699	9,241,000	10,381,300	18,428,500	33,619,600	38,021,600	26,377,400	20,785,700	40,048,900	35,012,990	1.21%	24,255,700	2.25%	25,360,400
중계점	아동의류(특정매입)	토들러	베네통키즈	상설	7.0	13,724,900	20,734,400	32,664,900	24,119,500	115,591	41,801,400	200,331	17,090,100	81,903	17,876,600	10,023,300	24,540,500	33,215,760	34,214,400	19,745,730	11,965,400	27,668,600	25,431,600	-22.14%	19,407,800	-19.53%	29,997,800
중계점	아동의류(특정매입)	스포츠키즈	뉴발란스키즈	정상	17.9	31,825,000	39,337,000	61,604,200	50,669,400	94,356	46,300,830	86,221	31,673,490	58,982	22,800,230	19,035,650	38,161,120	53,684,710	52,527,710	44,834,040	26,062,850	73,863,950	54,506,680	-11.52%	54,279,920	7.13%	54,519,670
중계점	아동의류(특정매입)	스포츠키즈	블랙야크키즈	복합	8.6	16,438,550	12,819,620	18,067,160	16,446,500	63,896	15,116,000	58,727	7,321,700	28,445	2,026,600	8,800	10,123,800	30,365,300	35,464,900	34,134,200	14,712,500	20,017,400	24,535,200	35.80%	25,506,900	55.09%	21,108,730
중계점	아동의류(특정매입)	스포츠키즈	플레이키즈프로	정상	8.7	14,723,815	19,661,290	35,334,520	23,046,200	88,300	24,455,260	93,698	18,676,855	71,559	10,935,590	11,511,450	23,148,815	38,542,650	24,511,145	23,205,000	16,984,510	25,863,305	35,298,100	-0.10%	33,058,830	43.45%	26,997,305
중계점	아동의류(특정매입)	유아	앙팡스(압소바)	정상	10.2	23,549,120	17,053,530	28,372,220	34,570,080	112,974	29,646,050	96,883	18,422,760	60,205	16,284,730	17,782,880	30,971,220	37,446,030	30,365,050	28,071,580	20,460,120	22,616,050	23,857,740	-15.91%	33,804,400	-2.21%	28,636,960
중계점	아동의류(특정매입)	주니어	폴햄키즈	정상	8.6	11,621,250	13,248,590	34,382,150	24,020,740	93,104	22,630,500	87,715	18,520,300	71,784	13,250,200	8,204,900	22,859,220	35,035,330	33,186,250	27,614,220	11,575,830	21,588,790	34,024,400	-1.04%	40,046,250	66.72%	26,592,200
중계점	아동의류(특정매입)	주니어	탑텐키즈	정상	18.9	15,888,715	23,553,780	52,366,010	54,559,748	96,225	46,031,335	81,184	28,246,303	49,817	16,461,088	12,624,020	31,478,600	74,571,480	50,553,600	30,676,400	14,745,800	22,441,470	50,358,170	-3.83%	44,496,050	-18.45%	50,010,800
중계점	아동의류(특정매입)	스포츠키즈	NBA키즈	정상	9.7	4,647,590	7,991,000	14,421,300	11,362,150	39,045	7,671,550	26,363	3,948,100	13,567	2,108,500	2,271,500	5,792,100	21,832,900	10,544,900	12,334,500	6,673,800	12,913,100	14,001,800	-2.91%	14,757,600	29.88%	13,187,100
중계점	아동의류(특정매입)	주니어	스파오키즈	정상	11.0	20,574,800	32,549,600	78,455,400	53,059,900	160,788	38,776,400	117,504	22,667,700	68,690	19,130,800	10,748,900	37,721,000	65,230,500	39,039,600	22,603,500	16,852,200	30,198,400	48,367,700	-38.35%	51,308,800	-3.30%	34,430,500
중계점	아동의류(특정매입)	주니어	행텐틴즈	정상	8.4	8,882,010	9,609,680	25,209,400	25,127,400	99,712	28,217,585	111,975	15,140,660	60,082	9,631,500	5,946,700	15,131,000	39,001,500	37,695,050	24,918,850	10,762,500	17,188,300	33,817,800	34.15%	33,826,530	34.62%	29,905,200
중계점	여성의류(특정)NC	여성캐릭터	데코	상설	13.5	17,185,000	14,575,000	33,371,000	24,082,000	59,462	25,071,000	61,904	21,915,000	54,111	15,385,000	11,614,000	20,501,000	24,241,009	30,243,991	28,084,000	17,593,000	16,144,000	35,396,000	6.07%	25,028,000	3.93%	24,590,000
중계점	여성의류(특정)NC	여성커리어	쉬즈미스	정상	13.5	52,753,700	60,477,300	79,859,300	97,790,100	241,457	80,016,998	197,573	55,046,900	135,918	43,008,700	30,294,680	45,964,000	60,050,000	70,112,200	48,815,400	50,415,800	60,473,800	81,033,900	1.47%	80,051,480	-18.14%	71,994,900
중계점	여성의류(특정)NC	여성커리어	요하넥스	복합	11.3	12,321,700	17,092,900	24,150,900	17,138,600	50,556	23,020,600	67,907	20,875,480	61,580	10,453,630	10,015,700	16,729,230	20,500,500	43,987,700	23,242,400	19,046,300	18,398,200	34,205,100	41.63%	20,443,600	19.28%	27,432,700
중계점	여성의류(특정)NC	여성캐릭터	린	상설	16.1	13,021,800	18,442,400	13,039,200	28,364,900	58,727	23,240,500	48,117	24,636,500	51,007	13,472,550	16,212,650	13,563,900	16,632,800	24,090,800	21,426,700	16,740,300	13,181,900	11,524,100	-11.62%	25,358,400	-10.60%	15,780,900
중계점	여성의류(특정)NC	여성캐릭터	모조에스핀	상설	25.1	52,538,180	52,556,020	40,037,250	57,668,360	76,585	31,242,100	41,490	20,618,520	27,382	24,620,140	31,668,680	24,300,260	33,470,000	38,388,020	35,164,670	31,035,580	25,337,080	31,271,550	-21.89%	49,939,540	-13.40%	23,709,010
중계점	여성의류(특정)NC	여성커리어	미샤(커리어)	상설	24.2	88,618,590	75,594,540	78,002,780	63,242,000	87,110	65,775,260	90,600	78,069,950	107,534	60,018,908	50,005,990	54,339,960	77,093,110	72,979,390	103,808,880	70,102,010	60,196,990	61,159,560	-21.59%	64,634,760	2.20%	59,453,260
중계점	여성의류(특정)NC	여성커리어	발렌시아	정상	12.1	15,367,000	12,026,600	13,513,000	15,312,800	42,184	17,366,800	47,842	14,536,200	40,045	23,100,800	11,691,400	15,003,200	20,351,600	21,589,800	14,475,400	15,642,200	15,697,600	29,051,000	114.99%	15,536,400	1.46%	15,032,000
중계점	여성의류(특정)NC	여성TD	비씨비지	상설	11.5	40,252,000	36,560,000	53,791,000	45,417,000	131,643	48,729,000	141,243	47,067,000	136,426	44,029,000	33,104,000	44,158,000	42,575,000	62,742,000	52,232,000	42,204,000	37,516,000	46,079,000	-14.34%	74,677,000	64.43%	50,962,300
